"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","22nF","","","","Capacitor_SMD:C_1206_3216Metric",""
"C2,C3,C9,C10","4","18pF","","","","Capacitor_SMD:C_1206_3216Metric",""
"C4","1","10nF","","","","Capacitor_SMD:C_1206_3216Metric",""
"C5,C6","2","10µF","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"C7,C8,C11,C12,C14,C15,C16","7","100nF","","","","Capacitor_SMD:C_1206_3216Metric",""
"C13","1","4.7µF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"D1,D2","2","LED","","","","LED_THT:LED_D3.0mm",""
"J1","1","Conn_02x03_Odd_Even","","","","parts:09185066324_02x03_P2.54",""
"J2","1","RJ45_Wuerth_7499010121A","","","","Connector_RJ:RJ45_Wuerth_7499010121A_Horizontal","http://katalog.we-online.de/pbs/datasheet/7499010121A.pdf"
"J3,J4,J5","3","Conn_02x10_Odd_Even","","","","parts:09185206324_02x10_P2.54",""
"R1,R2,R4,R5","4","49,9R","","","","Resistor_SMD:R_1206_3216Metric",""
"R3","1","10R","","","","Resistor_SMD:R_1206_3216Metric",""
"R6","1","1M","","","","Resistor_SMD:R_1206_3216Metric",""
"R7","1","51R","","","","Resistor_SMD:R_1206_3216Metric",""
"R8","1","150R","","","","Resistor_SMD:R_1206_3216Metric",""
"R9,R10","2","330R","","","","Resistor_SMD:R_1206_3216Metric",""
"R11","1","12.4k","","","","Resistor_SMD:R_1206_3216Metric",""
"R12,R13","2","10k","","","","Resistor_SMD:R_1206_3216Metric",""
"RN1","1","33R","","","","Resistor_SMD:R_Array_Convex_4x1206",""
"RN2,RN3","2","10k","","","","Resistor_SMD:R_Array_Convex_4x1206",""
"SW1,SW2,SW3","3","SW_DIP_x03","","","","Package_DIP:DIP-6_W7.62mm",""
"U1","1","RASPBERRY_PI_ZERO_2_W","","","","parts:MODULE_RASPBERRY_PI_ZERO_2_W",""
"U2","1","W5500","","","","Package_QFP:LQFP-48_7x7mm_P0.5mm","http://wizwiki.net/wiki/lib/exe/fetch.php/products:w5500:w5500_ds_v109e.pdf"
"U3,U4","2","MCP23017x-x-SO","","","","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm","https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/MCP23017-Data-Sheet-DS20001952.pdf"
"U5","1","AT45DB641E-SHN-T","","","","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm",""
"Y1","1","25MHz","","","","Crystal:Crystal_HC49-U_Vertical",""
